day_of_week,member_casual,avg_ride_len_mins,max_ride_len_mins,counter,total_ride_len_mins
1,casual,24.14,1499.95,253513,6119629.85
1,member,12.21,1499.95,534475,6524635.17
2,casual,21.51,1500.85,232321,4998235.67
2,member,12.28,1499.95,570536,7006507.55
3,casual,22.28,1500.43,269262,5998590.8
3,member,12.45,1499.95,610115,7595110.77
4,casual,21.91,1499.95,265033,5806134.02
4,member,12.25,1499.97,570454,6990629.2
5,casual,24.3,1500.48,315671,7672203.25
5,member,12.4,1499.93,525606,6519508.62
6,casual,28.19,1559.93,445267,12554159.82
6,member,14.07,1559.8,479546,6749366.98
7,casual,29.42,1500.52,369809,10881489.27
7,member,14.27,1500.48,417149,5953042.33
